sep=|
Module|template|Desc|para0|para1|para2|para3|para4|para5|para4.0|para4.1|para4.2|para4.3
uniequip_002_mgllan_1|EquipmentDeployStage|完成5次战斗；每次战斗至少召唤5回非助战麦哲伦的召唤物|5|5|token_10005_mgllan_drone1;token_10005_mgllan_drone2;token_10005_mgllan_drone3|char_248_mgllan|||char_248_mgllan|||
uniequip_002_mgllan_2|EquipmentSquadPro|使用至多2人（包含助战）的队伍3星通关主题曲2-5；必须编入非助战麦哲伦并上场，其他成员仅可编入先锋干员|3|main_02-05|char_248_mgllan|1,PIONEER|||1|PIONEER||
uniequip_002_folivo_1|EquipmentDeployStage|完成5次战斗；每次战斗至少召唤5回非助战稀音的召唤物|5|5|token_10010_folivo_car|char_336_folivo|||char_336_folivo|||
uniequip_002_folivo_2|EquipmentSquadPro|使用至多2人（包含助战）的队伍3星通关主题曲3-1；必须编入非助战稀音并上场，其他成员仅可编入狙击干员|3|main_03-01|char_336_folivo|1,SNIPER|||1|SNIPER||
uniequip_002_otter_1|EquipmentDeployStage|完成5次战斗；每次战斗至少召唤5回非助战梅尔的召唤物|5|5|token_10004_otter_motter|char_242_otter|||char_242_otter|||
uniequip_002_otter_2|EquipmentSquadPro|使用至多3人（包含助战）的队伍3星通关主题曲2-9；必须编入非助战梅尔并上场，其他成员仅可编入狙击干员|3|main_02-09|char_242_otter|2,SNIPER|||2|SNIPER||
uniequip_002_deepcl_1|EquipmentDeployTotal|战斗中累计召唤非助战深海色的召唤物20回|20|token_10001_deepcl_tentac|char_110_deepcl|||||||
uniequip_002_deepcl_2|EquipmentSquadPro|使用至多1人的队伍3星通关主题曲2-4；队伍中仅可编入非助战深海色|3|main_02-04|char_110_deepcl|0,SNIPER|||0|SNIPER||
uniequip_002_pallas_1|EquipmentCharKilled|由非助战帕拉斯累计造成50歼灭数|char_485_pallas|50|char_485_pallas|||||||
uniequip_002_pallas_2|EquipmentSquadPro|使用至多2人（包含助战）的队伍3星通关主题曲3-6；必须编入非助战帕拉斯并上场，其他成员仅可编入医疗干员|3|main_03-06|char_485_pallas|1,MEDIC|||1|MEDIC||
uniequip_002_sophia_1|EquipmentCharKilled|由非助战鞭刃累计造成50歼灭数|char_265_sophia|50|char_265_sophia|||||||
uniequip_002_sophia_2|EquipmentSquadPro|3星通关主题曲S3-6；必须编入非助战鞭刃并上场，其他成员仅可编入重装干员|3|sub_03-3-1|char_265_sophia|13,TANK|||13|TANK||
uniequip_002_swire_1|EquipmentSquadProStage|非助战诗怀雅上场完成5次战斗；其他成员仅可编入近卫干员|5|char_308_swire|999,WARRIOR|||||||
uniequip_002_swire_2|EquipmentSquadPos|使用至多2人（包含助战）的队伍3星通关主题曲S2-3；必须编入非助战诗怀雅并上场，其他成员仅可编入近战位干员|3|sub_02-03|char_308_swire|1,MELEE|||1|MELEE||
uniequip_002_doberm_1|EquipmentSquadStarStage|非助战杜宾上场完成5次战斗；队伍中除杜宾外，其他成员仅可编入3星干员|5|char_130_doberm|999,3|||||||
uniequip_002_doberm_2|EquipmentSquadStar|3星通关主题曲1-12；必须编入非助战杜宾并上场，其他成员仅可编入3星干员|3|main_01-12|char_130_doberm|13,3|||13|3||
uniequip_001_fartth_1|EquipmentCharKilled|由非助战远牙累计造成80歼灭数|char_430_fartth|80|char_430_fartth|||||||
uniequip_002_fartth_2|EquipmentEventStageMore|3星通关主题曲s2-2；必须编入非助战远牙并上场，且远牙使用光羽箭至少歼灭8名敌人|3|sub_02-02|char_430_fartth|DEATHDETAIL,char_430_fartth,3|8||DEATHDETAIL|char_430_fartth|3|
uniequip_001_milu_3|EquipmentEventTotal|由非助战守林人累计歼灭25名使用远程武器的敌人|char_158_milu|DEATHDETAIL,char_158_milu,RANGED|25|||||||
uniequip_002_milu_4|EquipmentEventStageMore|3星通关主题曲2-10；必须编入非助战守林人并上场，且使用守林人歼灭碎骨|3|main_02-10|char_158_milu|DEATHDETAIL,char_158_milu,enemy_1500_skulsr|1||DEATHDETAIL|char_158_milu|enemy_1500_skulsr|
uniequip_001_cuttle_5|EquipmentDamageTotal|由非助战安哲拉累计造成150000点伤害|char_218_cuttle|150000||||||||
uniequip_002_cuttle_6|EquipmentCharKilledStage|3星通关主题曲3-2；必须编入非助战安哲拉并上场，且使用安哲拉至少歼灭15名敌人|3|main_03-02|char_218_cuttle|15|char_218_cuttle||15|||
uniequip_001_glaze_7|EquipmentEventTotal|由非助战安比尔使用雷达定位累计歼灭30名敌人|char_302_glaze|DEATHDETAIL,char_302_glaze,2|30|||||||
uniequip_002_glaze_8|EquipmentEventStageMore|3星通关主题曲4-7；必须编入非助战安比尔并上场，且使用安比尔至少歼灭6只高能源石虫|3|main_04-07|char_302_glaze|DEATHDETAIL,char_302_glaze,enemy_1021_bslime|6||DEATHDETAIL|char_302_glaze|enemy_1021_bslime|
uniequip_001_cgbird_9|EquipmentDeployTotal|战斗中累计召唤非助战夜莺的召唤物10回|10|token_10003_cgbird_bird|char_179_cgbird|||||||
